customer_id,recency,frequency,monetary,cluster,segment
Customer_1,976,1,0.0,0,At Risk
Customer_2,975,1,206.41,0,At Risk
Customer_3,970,1,117.01,0,At Risk
Customer_4,969,1,1202.03,0,At Risk
Customer_5,968,1,35.86,0,At Risk
Customer_6,967,1,58.69,0,At Risk
Customer_7,966,1,253.01,0,At Risk
Customer_8,964,1,0.0,0,At Risk
Customer_9,963,1,256.14,0,At Risk
Customer_10,962,1,354.67,0,At Risk
Customer_11,959,1,0.0,0,At Risk
Customer_12,954,1,419.17,0,At Risk
Customer_13,953,1,0.0,0,At Risk
Customer_14,951,1,566.5,0,At Risk
Customer_15,945,1,1237.07,0,At Risk
Customer_16,943,1,79.64,0,At Risk
Customer_17,942,1,964.8,0,At Risk
Customer_18,941,1,307.78,0,At Risk
Customer_19,940,1,1176.93,0,At Risk
Customer_20,934,1,47.93,0,At Risk
Customer_21,930,1,58.07,0,At Risk
Customer_22,929,1,1.65,0,At Risk
Customer_23,928,1,579.15,0,At Risk
Customer_24,909,1,0.0,0,At Risk
Customer_25,909,2,411.52,0,At Risk
Customer_26,905,1,178.05,0,At Risk
Customer_27,877,1,98.48,0,At Risk
Customer_28,875,1,0.0,0,At Risk
Customer_29,870,1,0.0,0,At Risk
Customer_30,864,1,0.0,0,At Risk
Customer_31,863,1,0.0,0,At Risk
Customer_32,860,1,0.0,0,At Risk
Customer_33,850,1,372.99,0,At Risk
Customer_34,841,3,510.27,3,High Value
Customer_35,839,1,170.35,0,At Risk
Customer_36,828,1,62.91,0,At Risk
Customer_37,763,1,205.44,0,At Risk
Customer_38,757,1,0.0,0,At Risk
Customer_39,751,1,355.26,0,At Risk
Customer_40,748,1,110.54,0,At Risk
Customer_41,742,1,1069.94,0,At Risk
Customer_42,733,1,0.0,0,At Risk
Customer_43,728,1,0.0,0,At Risk
Customer_44,726,1,0.0,0,At Risk
Customer_45,720,2,97.86,0,At Risk
Customer_46,707,1,73.34,0,At Risk
Customer_47,706,1,0.0,0,At Risk
Customer_48,703,1,68.34,0,At Risk
Customer_49,698,1,0.0,0,At Risk
Customer_50,695,1,0.0,0,At Risk
Customer_51,681,1,0.0,0,At Risk
Customer_52,640,9,4704.64,2,High Value
Customer_53,635,1,0.0,0,At Risk
Customer_54,623,1,0.0,0,At Risk
Customer_55,610,1,0.0,0,At Risk
Customer_56,607,1,592.71,0,At Risk
Customer_57,589,1,50.2299,0,At Risk
Customer_58,565,1,123.03,0,At Risk
Customer_59,564,1,102.3,0,At Risk
Customer_60,541,3,664.83,3,High Value
Customer_61,517,3,273.85,3,High Value
Customer_62,499,1,0.0,0,At Risk
Customer_63,496,1,0.0,0,At Risk
Customer_64,420,2,90.27,3,High Value
Customer_65,395,1,52.95,1,High Value
Customer_66,390,1,335.87,1,High Value
Customer_67,291,1,223.17,1,High Value
Customer_68,276,1,692.33,1,High Value
Customer_69,265,1,97.86,1,High Value
Customer_70,155,1,49.76,1,High Value
Customer_71,132,2,235.33,1,High Value
Customer_72,123,1,64.19,1,High Value
Customer_73,79,1,62.0,1,High Value
Customer_74,78,1,22.42,1,High Value
Customer_75,69,1,214.23,1,High Value
Customer_76,63,1,64.19,1,High Value
Customer_77,58,3,635.91,3,High Value
Customer_78,45,3,370.62,3,High Value
Customer_79,42,1,913.39,1,High Value
Customer_80,38,1,217.55,1,High Value
Customer_81,36,2,1644.03,3,High Value
Customer_82,30,1,0.0,1,High Value
Customer_83,24,1,25.31,1,High Value
Customer_84,22,1,659.55,1,High Value
Customer_85,21,1,0.0,1,High Value
Customer_86,19,1,278.24,1,High Value
Customer_87,17,1,391.02,1,High Value
Customer_88,16,1,0.0,1,High Value
Customer_89,15,1,109.15,1,High Value
Customer_90,13,1,0.0,1,High Value
Customer_91,10,2,0.0,1,High Value
Customer_92,10,1,563.5599,1,High Value
Customer_93,9,1,86.19,1,High Value
Customer_94,8,1,130.08,1,High Value
Customer_95,7,1,38.8,1,High Value
Customer_96,5,1,54.54,1,High Value
Customer_97,3,1,312.87,1,High Value
Customer_98,2,1,107.24,1,High Value
